retailer,brand,bras_bottoms,color,size,title,pdp_title,link,2026-06-27_price,2026-06-28_price,2026-06-27_discount,2026-06-28_discount,last_run
Target,Hanes,Bottoms,Assorted,2XL,Hanes Women's 6pk Comfort Flex Fit Microfiber Briefs - Colors May Vary,Hanes Women's 6pk Comfort Flex Fit Microfiber Briefs - Colors May Vary XXL,https://www.target.com/p/hanes-women-s-6pk-comfort-flex-fit-microfiber-briefs-colors-may-vary/-/A-85864862?preselect=85701592,18.99,,,,2026-06-27T20:40:56-04:00
Target,Hanes,Bottoms,Assorted,All,Hanes Women's 6pk Comfort Flex Fit Seamless Bikini Underwear - Colors May Vary,"Hanes Women's 6pk Comfort Flex Fit Seamless Bikini Underwear - Colors May Vary L: Breathable, Low Rise, Knit Fabric",https://www.target.com/p/hanes-women-s-6pk-comfort-flex-fit-seamless-bikini-underwear-colors-may-vary/-/A-85864825?preselect=85701623,16.99,,,,2026-06-27T20:40:56-04:00
Target,Hanes,Bottoms,,S,Hanes Women's 6pk Comfort Flex Fit Seamless Boy Shorts - Colors May Vary,Hanes Women's 6pk Boy Shorts Comfort Flex Fit Seamless Underwear - Colors May Vary S,https://www.target.com/p/hanes-women-s-6pk-comfort-flex-fit-seamless-boy-shorts-colors-may-vary/-/A-85864824?preselect=85701626,18.99,,,,2026-06-27T20:40:56-04:00
Target,Hanes,Bottoms,Assorted,M,Hanes Women's 6pk Comfort Flex Fit Seamless Boy Shorts - Colors May Vary,Hanes Women's 6pk Boy Shorts Comfort Flex Fit Seamless Underwear - Colors May Vary M,https://www.target.com/p/hanes-women-s-6pk-comfort-flex-fit-seamless-boy-shorts-colors-may-vary/-/A-85864824?preselect=85701627,18.99,,,,2026-06-27T20:40:56-04:00
Target,Hanes,Bottoms,,L,Hanes Women's 6pk Comfort Flex Fit Seamless Boy Shorts - Colors May Vary,Hanes Women's 6pk Boy Shorts Comfort Flex Fit Seamles Underwear - Colors May Vary L,https://www.target.com/p/hanes-women-s-6pk-comfort-flex-fit-seamless-boy-shorts-colors-may-vary/-/A-85864824?preselect=85701629,18.99,,,,2026-06-27T20:40:56-04:00
Target,Hanes,Bottoms,Assorted,XL,Hanes Women's 6pk Comfort Flex Fit Seamless Boy Shorts - Colors May Vary,Hanes Women's 6pk Boy Shorts Comfort Flex Fit Seamless Underwear - Colors May Vary XL,https://www.target.com/p/hanes-women-s-6pk-comfort-flex-fit-seamless-boy-shorts-colors-may-vary/-/A-85864824?preselect=85701630,18.99,,,,2026-06-27T20:40:56-04:00
Walmart,Fruit of the Loom,Bottoms,,,P6 Cotton,"Fruit of the Loom Women's Cotton Brief Underwear, 6-Pack",https://www.walmart.com/ip/Fruit-of-the-Loom-Women-s-Cotton-Brief-Underwear-6-Pack/971586734,11.48,,,,2026-06-28T21:15:03+00:00
Walmart,Fruit of the Loom,Bottoms,,,P10 Cotton Brief,"Fruit of the Loom Women's Cotton Brief Underwear, 10-Pack",https://www.walmart.com/ip/Fruit-of-the-Loom-Women-s-Brief-Underwear-10-Pack/397061451,16.98,,,,2026-06-28T21:15:05+00:00
Walmart,Fruit of the Loom,Bottoms,,,P10 Cotton Bikini,"Fruit of the Loom Women's Cotton Bikini Underwear, 10-Pack",https://www.walmart.com/ip/Fruit-of-the-Loom-Women-s-Cotton-Bikini-Underwear-10-Pack/143867866,10.07,,,,2026-06-27T20:40:56-04:00
Walmart,Fruit of the Loom,Bottoms,,M,P6 Microfiber Briefs M,"Fruit of the Loom Women's Microfiber Underwear, 6-Pack",https://www.walmart.com/ip/Fruit-of-the-Loom-Women-s-Microfiber-Hi-Cut-Brief-Underwear-6-Pack/110037290,13.48,,,,2026-06-27T20:40:56-04:00
Walmart,Fruit of the Loom,Bottoms,,L,P6 Microfiber Briefs L,"Fruit of the Loom Women's Microfiber Underwear, 6-Pack",https://www.walmart.com/ip/Fruit-of-the-Loom-Women-s-Microfiber-Hi-Cut-Brief-Underwear-6-Pack/142502585,13.48,,,,2026-06-27T20:40:56-04:00
Walmart,Fruit of the Loom,Bottoms,,XL,P6 Microfiber Briefs XL,"Fruit of the Loom Women's Microfiber Underwear, 6-Pack",https://www.walmart.com/ip/Fruit-of-the-Loom-Women-s-Microfiber-Hi-Cut-Brief-Underwear-6-Pack/209599705,13.48,,,,2026-06-27T20:40:56-04:00
Walmart,Fruit of the Loom,Bottoms,,2XL,P6 Microfiber Briefs 2XL,,https://www.walmart.com/ip/Fruit-of-the-Loom-Women-s-Microfiber-Hi-Cut-Brief-Underwear-6-Pack/322365944,,,,,2026-06-27T20:40:56-04:00
Walmart,Fruit of the Loom,Bottoms,,3XL,P6 Microfiber Briefs 3XL,"Fruit of the Loom Women's Microfiber Underwear, 6-Pack",https://www.walmart.com/ip/Fruit-of-the-Loom-Women-s-Microfiber-Hi-Cut-Brief-Underwear-6-Pack/360755628,13.48,,,,2026-06-27T20:40:56-04:00
Walmart,Fruit of the Loom,Bottoms,,XS,P6 Microfiber Bikini XS,"Fruit of the Loom Women's Microfiber Underwear, 6-Pack",https://www.walmart.com/ip/Fruit-of-the-Loom-Women-s-Microfiber-Hi-Cut-Brief-Underwear-6-Pack/970292239,16.16,,,,2026-06-27T20:40:56-04:00
Walmart,Fruit of the Loom,Bottoms,,S,P6 Microfiber Bikini S,,https://www.walmart.com/ip/Fruit-of-the-Loom-Women-s-Microfiber-Hi-Cut-Brief-Underwear-6-Pack/578134430,,,,,2026-06-27T20:40:56-04:00
Amazon,Hanes,Bottoms,White,8 US,"Hanes Women's Underwear Briefs Pack, 10-Pack, Cotton Panties for Women, Moisture-Wicking, Full Coverage","Hanes Women's Underwear Pack, 10-Pack, Full-Coverage Cotton Blend Panties, Moisture-Wicking Underwear for Women",https://www.amazon.com/dp/B00FZR19OE,11.38,,,,2026-06-27T20:40:56-04:00
Amazon,Fruit of the Loom,Bottoms,Assorted,7,"Fruit of the Loom Women's Breathable Underwear, Moisture Wicking Keeps You Cool & Comfortable, Available in Plus Size","Fruit of the Loom womens Breathable Underwear, Moisture Wicking Keeps You Cool & Comfortable, Available in Plus Size",https://www.amazon.com/dp/B07QQTN26P,14.5,,,,2026-06-27T20:40:56-04:00
Amazon,Hanes,Bottoms,Assorted,,"Hanes Women's Originals Bikini Panties, Breathable Stretch Cotton Underwear, Assorted, 6-Pack","Hanes Women's Originals Bikini Panties, Breathable Stretch Cotton Underwear, Assorted, 6-pack",https://www.amazon.com/dp/B0BQZ91NYP,14.24,,,,2026-06-27T20:40:56-04:00
