retailer,brand,bras_bottoms,color,size,title,pdp_title,link,2026-06-27_price,2026-06-27_discount,last_run
Target,Hanes,Bottoms,Assorted,S,Hanes Women's 6pk Comfort Flex Fit Microfiber Briefs - Colors May Vary,Hanes Women's 6pk Comfort Flex Fit Microfiber Briefs - Colors May Vary S,https://www.target.com/p/hanes-women-s-6pk-comfort-flex-fit-microfiber-briefs-colors-may-vary/-/A-85864862?preselect=85701588,18.99,,2026-06-27T20:37:42-04:00
Target,Hanes,Bottoms,Assorted,M,Hanes Women's 6pk Comfort Flex Fit Microfiber Briefs - Colors May Vary,Hanes Women's 6pk Comfort Flex Fit Microfiber Briefs - Colors May Vary M,https://www.target.com/p/hanes-women-s-6pk-comfort-flex-fit-microfiber-briefs-colors-may-vary/-/A-85864862?preselect=85701589,18.99,,2026-06-27T20:37:42-04:00
Target,Hanes,Bottoms,Assorted,L,Hanes Women's 6pk Comfort Flex Fit Microfiber Briefs - Colors May Vary,Hanes Women's 6pk Comfort Flex Fit Microfiber Briefs - Colors May Vary L,https://www.target.com/p/hanes-women-s-6pk-comfort-flex-fit-microfiber-briefs-colors-may-vary/-/A-85864862?preselect=85701590,18.99,,2026-06-27T20:37:42-04:00
Target,Hanes,Bottoms,Assorted,XL,Hanes Women's 6pk Comfort Flex Fit Microfiber Briefs - Colors May Vary,Hanes Women's 6pk Comfort Flex Fit Microfiber Briefs - Colors May Vary XL,https://www.target.com/p/hanes-women-s-6pk-comfort-flex-fit-microfiber-briefs-colors-may-vary/-/A-85864862?preselect=85701591,18.99,,2026-06-27T20:37:42-04:00
Target,Hanes,Bottoms,Assorted,2XL,Hanes Women's 6pk Comfort Flex Fit Microfiber Briefs - Colors May Vary,Hanes Women's 6pk Comfort Flex Fit Microfiber Briefs - Colors May Vary XXL,https://www.target.com/p/hanes-women-s-6pk-comfort-flex-fit-microfiber-briefs-colors-may-vary/-/A-85864862?preselect=85701592,18.99,,2026-06-27T20:40:56-04:00
Target,Hanes,Bottoms,Assorted,All,Hanes Women's 6pk Comfort Flex Fit Seamless Bikini Underwear - Colors May Vary,"Hanes Women's 6pk Comfort Flex Fit Seamless Bikini Underwear - Colors May Vary L: Breathable, Low Rise, Knit Fabric",https://www.target.com/p/hanes-women-s-6pk-comfort-flex-fit-seamless-bikini-underwear-colors-may-vary/-/A-85864825?preselect=85701623,16.99,,2026-06-27T20:40:56-04:00
Target,Hanes,Bottoms,,S,Hanes Women's 6pk Comfort Flex Fit Seamless Boy Shorts - Colors May Vary,Hanes Women's 6pk Boy Shorts Comfort Flex Fit Seamless Underwear - Colors May Vary S,https://www.target.com/p/hanes-women-s-6pk-comfort-flex-fit-seamless-boy-shorts-colors-may-vary/-/A-85864824?preselect=85701626,18.99,,2026-06-27T20:40:56-04:00
Target,Hanes,Bottoms,Assorted,M,Hanes Women's 6pk Comfort Flex Fit Seamless Boy Shorts - Colors May Vary,Hanes Women's 6pk Boy Shorts Comfort Flex Fit Seamless Underwear - Colors May Vary M,https://www.target.com/p/hanes-women-s-6pk-comfort-flex-fit-seamless-boy-shorts-colors-may-vary/-/A-85864824?preselect=85701627,18.99,,2026-06-27T20:40:56-04:00
Target,Hanes,Bottoms,,L,Hanes Women's 6pk Comfort Flex Fit Seamless Boy Shorts - Colors May Vary,Hanes Women's 6pk Boy Shorts Comfort Flex Fit Seamles Underwear - Colors May Vary L,https://www.target.com/p/hanes-women-s-6pk-comfort-flex-fit-seamless-boy-shorts-colors-may-vary/-/A-85864824?preselect=85701629,18.99,,2026-06-27T20:40:56-04:00
Target,Hanes,Bottoms,Assorted,XL,Hanes Women's 6pk Comfort Flex Fit Seamless Boy Shorts - Colors May Vary,Hanes Women's 6pk Boy Shorts Comfort Flex Fit Seamless Underwear - Colors May Vary XL,https://www.target.com/p/hanes-women-s-6pk-comfort-flex-fit-seamless-boy-shorts-colors-may-vary/-/A-85864824?preselect=85701630,18.99,,2026-06-27T20:40:56-04:00
